match_id,round,date,avg_minutes_game,avg_seconds_point,avg_minutes_set,tournament,year,match_minutes
m_2018_A_0,1st Round,2018-01-15,4.0,37.2,41.3,Australian Open,2018,124.0
m_2018_A_1,1st Round,2018-01-15,4.38,42.4,43.8,Australian Open,2018,219.0
m_2018_A_2,1st Round,2018-01-15,4.88,46.4,47.8,Australian Open,2018,239.0
m_2018_A_3,1st Round,2018-01-15,5.15,46.0,52.8,Australian Open,2018,211.0
m_2018_A_4,1st Round,2018-01-15,4.33,40.7,47.7,Australian Open,2018,143.0
m_2018_A_5,1st Round,2018-01-15,4.56,41.6,44.5,Australian Open,2018,178.0
m_2018_A_6,1st Round,2018-01-15,4.81,44.9,49.7,Australian Open,2018,149.0
m_2018_A_7,1st Round,2018-01-15,4.37,41.4,38.3,Australian Open,2018,153.0
m_2018_A_8,1st Round,2018-01-15,4.42,40.1,46.0,Australian Open,2018,230.0
m_2018_A_9,1st Round,2018-01-15,3.35,36.8,31.0,Australian Open,2018,124.0
m_2018_A_10,1st Round,2018-01-15,4.18,40.1,31.8,Australian Open,2018,159.0
m_2018_A_11,1st Round,2018-01-15,3.45,34.7,33.8,Australian Open,2018,169.0
m_2018_A_12,1st Round,2018-01-15,4.14,40.5,38.7,Australian Open,2018,116.0
m_2018_A_13,1st Round,2018-01-15,4.08,38.7,32.7,Australian Open,2018,98.0
m_2018_A_14,1st Round,2018-01-15,4.05,38.5,47.8,Australian Open,2018,239.0
m_2018_A_15,1st Round,2018-01-15,5.18,43.6,49.3,Australian Open,2018,197.0
m_2018_A_16,1st Round,2018-01-15,4.79,44.1,45.0,Australian Open,2018,225.0
m_2018_A_17,1st Round,2018-01-15,4.27,37.6,47.0,Australian Open,2018,141.0
m_2018_A_18,1st Round,2018-01-15,4.31,38.9,38.8,Australian Open,2018,155.0
m_2018_A_19,1st Round,2018-01-15,3.9,38.2,40.3,Australian Open,2018,121.0
m_2018_A_20,1st Round,2018-01-15,3.83,39.4,38.3,Australian Open,2018,153.0
m_2018_A_21,1st Round,2018-01-15,3.86,37.7,34.8,Australian Open,2018,139.0
m_2018_A_22,1st Round,2018-01-15,4.16,40.7,43.0,Australian Open,2018,129.0
m_2018_A_23,1st Round,2018-01-15,4.79,44.6,46.3,Australian Open,2018,139.0
m_2018_A_24,1st Round,2018-01-15,3.97,36.5,38.3,Australian Open,2018,115.0
m_2018_A_25,1st Round,2018-01-15,4.13,36.6,51.2,Australian Open,2018,256.0
m_2018_A_26,1st Round,2018-01-15,4.34,37.8,47.8,Australian Open,2018,191.0
m_2018_A_27,1st Round,2018-01-15,3.48,35.0,29.0,Australian Open,2018,87.0
m_2018_A_28,1st Round,2018-01-15,4.48,44.4,31.3,Australian Open,2018,94.0
m_2018_A_29,1st Round,2018-01-15,4.75,43.0,48.4,Australian Open,2018,242.0
m_2018_A_30,1st Round,2018-01-15,3.56,34.2,34.2,Australian Open,2018,171.0
m_2018_A_31,1st Round,2018-01-15,4.48,37.6,40.3,Australian Open,2018,121.0
m_2018_A_32,1st Round,2018-01-16,4.39,39.5,50.5,Australian Open,2018,202.0
m_2018_A_33,1st Round,2018-01-16,3.86,37.9,36.0,Australian Open,2018,108.0
m_2018_A_34,1st Round,2018-01-16,5.03,44.0,49.0,Australian Open,2018,196.0
m_2018_A_35,1st Round,2018-01-16,4.1,41.4,42.3,Australian Open,2018,127.0
m_2018_A_36,1st Round,2018-01-16,5.05,42.5,51.8,Australian Open,2018,207.0
m_2018_A_37,1st Round,2018-01-16,3.57,40.9,35.7,Australian Open,2018,107.0
m_2018_A_38,1st Round,2018-01-16,5.05,43.7,44.4,Australian Open,2018,222.0
m_2018_A_39,1st Round,2018-01-16,3.88,37.5,32.3,Australian Open,2018,97.0
m_2018_A_40,1st Round,2018-01-16,4.07,38.8,45.8,Australian Open,2018,183.0
m_2018_A_41,1st Round,2018-01-16,3.37,32.7,30.3,Australian Open,2018,91.0
m_2018_A_42,1st Round,2018-01-16,4.58,39.1,47.3,Australian Open,2018,142.0
m_2018_A_43,1st Round,2018-01-16,3.92,39.6,38.3,Australian Open,2018,153.0
m_2018_A_44,1st Round,2018-01-16,4.16,35.3,34.7,Australian Open,2018,104.0
m_2018_A_45,1st Round,2018-01-16,4.28,40.1,41.8,Australian Open,2018,167.0
m_2018_A_46,1st Round,2018-01-16,4.11,44.1,37.0,Australian Open,2018,111.0
m_2018_A_47,1st Round,2018-01-16,3.87,34.3,38.7,Australian Open,2018,116.0
m_2018_A_48,1st Round,2018-01-16,4.12,38.0,42.3,Australian Open,2018,169.0
m_2018_A_49,1st Round,2018-01-16,4.44,39.4,37.0,Australian Open,2018,111.0
m_2018_A_50,1st Round,2018-01-16,3.5,36.0,35.0,Australian Open,2018,105.0
m_2018_A_51,1st Round,2018-01-16,4.54,36.1,44.3,Australian Open,2018,177.0
m_2018_A_52,1st Round,2018-01-16,3.81,37.0,40.7,Australian Open,2018,122.0
m_2018_A_53,1st Round,2018-01-16,3.08,32.8,25.7,Australian Open,2018,77.0
m_2018_A_54,1st Round,2018-01-16,4.98,44.2,52.3,Australian Open,2018,209.0
m_2018_A_55,1st Round,2018-01-16,3.9,39.9,40.3,Australian Open,2018,121.0
m_2018_A_56,1st Round,2018-01-16,4.31,42.9,41.7,Australian Open,2018,125.0
m_2018_A_57,1st Round,2018-01-16,4.32,38.7,49.0,Australian Open,2018,147.0
m_2018_A_58,1st Round,2018-01-16,4.23,35.5,37.0,Australian Open,2018,148.0
m_2018_A_59,1st Round,2018-01-16,3.69,36.0,48.0,Australian Open,2018,48.0
m_2018_A_60,1st Round,2018-01-16,4.03,39.7,31.3,Australian Open,2018,125.0
m_2018_A_61,1st Round,2018-01-16,3.54,34.7,33.0,Australian Open,2018,99.0
m_2018_A_62,1st Round,2018-01-16,4.53,40.6,45.3,Australian Open,2018,136.0
m_2018_A_63,1st Round,2018-01-16,4.79,45.4,44.7,Australian Open,2018,134.0
m_2018_A_64,2nd Round,2018-01-17,3.61,35.4,33.7,Australian Open,2018,101.0
m_2018_A_65,2nd Round,2018-01-17,4.75,42.0,48.4,Australian Open,2018,242.0
m_2018_A_66,2nd Round,2018-01-17,4.27,38.9,37.0,Australian Open,2018,111.0
m_2018_A_67,2nd Round,2018-01-17,4.0,38.8,44.0,Australian Open,2018,44.0
m_2018_A_68,2nd Round,2018-01-17,4.43,41.6,43.4,Australian Open,2018,217.0
m_2018_A_69,2nd Round,2018-01-17,3.42,37.3,29.7,Australian Open,2018,89.0
m_2018_A_70,2nd Round,2018-01-17,4.01,39.0,54.6,Australian Open,2018,273.0
m_2018_A_71,2nd Round,2018-01-17,3.89,42.6,35.0,Australian Open,2018,105.0
m_2018_A_72,2nd Round,2018-01-17,4.18,40.1,39.8,Australian Open,2018,159.0
m_2018_A_73,2nd Round,2018-01-17,3.63,35.7,38.7,Australian Open,2018,116.0
m_2018_A_74,2nd Round,2018-01-17,5.1,46.7,52.7,Australian Open,2018,158.0
m_2018_A_75,2nd Round,2018-01-17,4.37,40.2,39.3,Australian Open,2018,118.0
m_2018_A_76,2nd Round,2018-01-17,4.55,40.1,45.5,Australian Open,2018,182.0
m_2018_A_77,2nd Round,2018-01-17,3.88,37.4,44.0,Australian Open,2018,132.0
m_2018_A_78,2nd Round,2018-01-17,4.27,41.3,41.0,Australian Open,2018,205.0
m_2018_A_79,2nd Round,2018-01-17,4.13,37.1,42.7,Australian Open,2018,128.0
m_2018_A_80,2nd Round,2018-01-18,4.08,35.7,40.8,Australian Open,2018,163.0
m_2018_A_81,2nd Round,2018-01-18,4.27,42.2,42.7,Australian Open,2018,128.0
m_2018_A_82,2nd Round,2018-01-18,4.85,41.5,45.6,Australian Open,2018,228.0
m_2018_A_83,2nd Round,2018-01-18,3.9,38.6,38.0,Australian Open,2018,152.0
m_2018_A_84,2nd Round,2018-01-18,4.44,41.6,37.8,Australian Open,2018,151.0
m_2018_A_85,2nd Round,2018-01-18,4.48,42.2,47.0,Australian Open,2018,188.0
m_2018_A_86,2nd Round,2018-01-18,4.12,37.7,35.0,Australian Open,2018,140.0
m_2018_A_87,2nd Round,2018-01-18,5.11,45.9,56.3,Australian Open,2018,225.0
m_2018_A_88,2nd Round,2018-01-18,4.71,42.9,41.3,Australian Open,2018,165.0
m_2018_A_89,2nd Round,2018-01-18,4.58,38.1,43.5,Australian Open,2018,174.0
m_2018_A_90,2nd Round,2018-01-18,4.46,40.0,38.7,Australian Open,2018,116.0
m_2018_A_91,2nd Round,2018-01-18,4.52,38.1,37.7,Australian Open,2018,113.0
m_2018_A_92,2nd Round,2018-01-18,4.14,40.2,41.4,Australian Open,2018,207.0
m_2018_A_93,2nd Round,2018-01-18,3.4,33.4,29.8,Australian Open,2018,119.0
m_2018_A_94,2nd Round,2018-01-18,3.52,35.4,29.3,Australian Open,2018,88.0
m_2018_A_95,2nd Round,2018-01-18,3.59,34.7,38.3,Australian Open,2018,115.0
m_2018_A_96,3rd Round,2018-01-19,4.37,38.2,42.8,Australian Open,2018,214.0
m_2018_A_97,3rd Round,2018-01-19,4.3,42.4,49.5,Australian Open,2018,198.0
m_2018_A_98,3rd Round,2018-01-19,4.72,39.7,46.0,Australian Open,2018,184.0
m_2018_A_99,3rd Round,2018-01-19,3.79,38.8,46.2,Australian Open,2018,231.0
m_2018_A_100,3rd Round,2018-01-19,4.16,39.3,39.5,Australian Open,2018,158.0
m_2018_A_101,3rd Round,2018-01-19,4.28,41.3,49.3,Australian Open,2018,197.0
m_2018_A_102,3rd Round,2018-01-19,4.78,42.9,36.7,Australian Open,2018,110.0
m_2018_A_103,3rd Round,2018-01-19,4.52,41.8,49.7,Australian Open,2018,149.0
m_2018_A_104,3rd Round,2018-01-20,3.91,39.6,44.0,Australian Open,2018,176.0
m_2018_A_105,3rd Round,2018-01-20,4.27,42.9,42.7,Australian Open,2018,128.0
m_2018_A_106,3rd Round,2018-01-20,4.19,40.3,36.0,Australian Open,2018,180.0
m_2018_A_107,3rd Round,2018-01-20,4.3,43.6,40.4,Australian Open,2018,202.0
m_2018_A_108,3rd Round,2018-01-20,4.46,43.5,38.7,Australian Open,2018,116.0
m_2018_A_109,3rd Round,2018-01-20,5.23,45.3,45.3,Australian Open,2018,136.0
m_2018_A_110,3rd Round,2018-01-20,5.42,46.2,47.0,Australian Open,2018,141.0
m_2018_A_111,3rd Round,2018-01-20,3.97,38.8,39.7,Australian Open,2018,119.0
m_2018_A_112,4th Round,2018-01-21,4.6,43.6,51.8,Australian Open,2018,207.0
m_2018_A_113,4th Round,2018-01-21,5.92,47.3,57.8,Australian Open,2018,231.0
m_2018_A_114,4th Round,2018-01-21,4.32,41.8,44.3,Australian Open,2018,177.0
m_2018_A_115,4th Round,2018-01-21,4.48,39.5,51.5,Australian Open,2018,206.0
m_2018_A_116,4th Round,2018-01-22,4.74,44.7,42.7,Australian Open,2018,128.0
m_2018_A_117,4th Round,2018-01-22,4.03,38.4,40.3,Australian Open,2018,121.0
m_2018_A_118,4th Round,2018-01-22,4.59,40.5,46.8,Australian Open,2018,234.0
m_2018_A_119,4th Round,2018-01-22,5.58,45.3,67.0,Australian Open,2018,201.0
m_2018_A_120,Quarterfinals,2018-01-23,4.45,42.3,42.3,Australian Open,2018,169.0
m_2018_A_121,Quarterfinals,2018-01-23,5.68,45.1,56.8,Australian Open,2018,227.0
m_2018_A_122,Quarterfinals,2018-01-24,4.77,42.1,49.3,Australian Open,2018,148.0
m_2018_A_123,Quarterfinals,2018-01-24,4.32,42.3,44.7,Australian Open,2018,134.0
m_2018_A_124,Semifinals,2018-01-25,4.93,43.6,46.0,Australian Open,2018,138.0
m_2018_A_125,Semifinals,2018-01-26,4.43,41.3,62.0,Australian Open,2018,62.0
m_2018_A_126,The Final,2018-01-28,4.07,39.2,36.6,Australian Open,2018,183.0
m_2017_A_0,1st Round,2017-01-16,4.63,41.1,44.4,Australian Open,2017,222.0
m_2017_A_1,1st Round,2017-01-16,5.75,39.4,,Australian Open,2017,23.0
m_2017_A_2,1st Round,2017-01-16,3.69,37.4,33.2,Australian Open,2017,166.0
m_2017_A_3,1st Round,2017-01-16,4.85,40.8,47.3,Australian Open,2017,189.0
m_2017_A_4,1st Round,2017-01-16,4.52,42.6,40.7,Australian Open,2017,122.0
m_2017_A_5,1st Round,2017-01-16,4.37,42.8,42.8,Australian Open,2017,214.0
m_2017_A_6,1st Round,2017-01-16,4.26,39.8,44.0,Australian Open,2017,132.0
m_2017_A_7,1st Round,2017-01-16,3.84,34.9,41.3,Australian Open,2017,165.0
m_2017_A_8,1st Round,2017-01-16,4.57,40.0,32.0,Australian Open,2017,32.0
m_2017_A_9,1st Round,2017-01-16,3.88,38.0,32.3,Australian Open,2017,97.0
m_2017_A_10,1st Round,2017-01-16,4.25,39.4,42.5,Australian Open,2017,170.0
m_2017_A_11,1st Round,2017-01-16,3.76,38.5,35.8,Australian Open,2017,143.0
m_2017_A_12,1st Round,2017-01-16,4.09,41.2,36.8,Australian Open,2017,184.0
m_2017_A_13,1st Round,2017-01-16,4.29,40.9,40.0,Australian Open,2017,120.0
m_2017_A_14,1st Round,2017-01-16,5.22,47.5,55.7,Australian Open,2017,167.0
m_2017_A_15,1st Round,2017-01-16,4.41,36.4,39.7,Australian Open,2017,119.0
m_2017_A_16,1st Round,2017-01-16,3.42,32.4,27.3,Australian Open,2017,82.0
m_2017_A_17,1st Round,2017-01-16,4.17,41.2,40.0,Australian Open,2017,200.0
m_2017_A_18,1st Round,2017-01-16,4.15,37.2,41.5,Australian Open,2017,166.0
m_2017_A_19,1st Round,2017-01-16,4.43,41.3,48.8,Australian Open,2017,195.0
m_2017_A_20,1st Round,2017-01-16,4.02,36.2,46.3,Australian Open,2017,185.0
m_2017_A_21,1st Round,2017-01-16,3.84,33.8,37.6,Australian Open,2017,188.0
m_2017_A_22,1st Round,2017-01-16,3.03,32.5,25.8,Australian Open,2017,103.0
m_2017_A_23,1st Round,2017-01-16,4.4,41.1,38.5,Australian Open,2017,154.0
m_2017_A_24,1st Round,2017-01-16,4.11,37.9,38.3,Australian Open,2017,115.0
m_2017_A_25,1st Round,2017-01-16,3.97,40.1,35.8,Australian Open,2017,143.0
m_2017_A_26,1st Round,2017-01-16,4.26,37.9,44.0,Australian Open,2017,132.0
m_2017_A_27,1st Round,2017-01-16,4.14,43.9,40.0,Australian Open,2017,120.0
m_2017_A_28,1st Round,2017-01-16,3.65,38.5,28.0,Australian Open,2017,84.0
m_2017_A_29,1st Round,2017-01-16,3.92,38.6,40.8,Australian Open,2017,204.0
m_2017_A_30,1st Round,2017-01-16,3.82,37.9,32.5,Australian Open,2017,130.0
m_2017_A_31,1st Round,2017-01-16,3.38,35.0,31.3,Australian Open,2017,125.0
m_2017_A_32,1st Round,2017-01-17,,,,Australian Open,2017,
m_2017_A_33,1st Round,2017-01-17,4.4,42.4,37.0,Australian Open,2017,185.0
m_2017_A_34,1st Round,2017-01-17,4.69,38.8,50.0,Australian Open,2017,150.0
m_2017_A_35,1st Round,2017-01-17,4.4,41.3,36.7,Australian Open,2017,110.0
m_2017_A_36,1st Round,2017-01-17,3.78,36.8,34.8,Australian Open,2017,174.0
m_2017_A_37,1st Round,2017-01-17,5.13,45.5,59.0,Australian Open,2017,236.0
m_2017_A_38,1st Round,2017-01-17,4.29,38.6,37.5,Australian Open,2017,150.0
m_2017_A_39,1st Round,2017-01-17,3.41,32.1,30.7,Australian Open,2017,92.0
m_2017_A_40,1st Round,2017-01-17,3.67,36.2,35.2,Australian Open,2017,176.0
m_2017_A_41,1st Round,2017-01-17,4.36,41.9,39.3,Australian Open,2017,157.0
m_2017_A_42,1st Round,2017-01-17,4.09,38.3,35.8,Australian Open,2017,143.0
m_2017_A_43,1st Round,2017-01-17,4.28,41.8,41.3,Australian Open,2017,124.0
m_2017_A_44,1st Round,2017-01-17,3.79,40.5,36.7,Australian Open,2017,110.0
m_2017_A_45,1st Round,2017-01-17,5.42,45.9,65.0,Australian Open,2017,65.0
m_2017_A_46,1st Round,2017-01-17,4.46,38.4,43.5,Australian Open,2017,174.0
m_2017_A_47,1st Round,2017-01-17,4.06,38.1,44.7,Australian Open,2017,134.0
