player_id,name,hand,country,birthday
atp_100069,Dennis Ralston,R,USA,1942-07-27
atp_100070,Jan Kukal,R,CZE,1942-09-13
atp_100071,Jean Claude Barclay,R,FRA,1942-12-30
atp_100072,Bailey Brown,R,USA,1943-06-15
atp_100073,Mark Cox,L,GBR,1943-07-05
atp_100074,Arthur Ashe,R,USA,1943-07-10
atp_100075,Owen Davidson,L,AUS,1943-10-04
atp_100076,Milan Holecek,R,CZE,1943-10-23
atp_100077,Daniel Contet,R,FRA,1943-11-03
atp_100078,Clark Graebner,R,USA,1943-11-04
atp_100079,Bill Bowrey,R,AUS,1943-12-25
atp_100080,Szabolcz Baranyi,R,HUN,1944-01-31
atp_100081,Charlie Pasarell,R,USA,1944-02-12
atp_100082,Roger Dowdeswell,R,ZIM,1944-02-16
atp_100083,Nicola Spear,R,SRB,1944-02-22
atp_100084,Tom Okker,R,NED,1944-02-22
atp_100085,Hans Jaochim Plotz,R,GER,1944-02-26
atp_100086,Frantisek Pala,L,CZE,1944-03-28
atp_100087,John Newcombe,R,AUS,1944-05-23
atp_100088,Patricio Cornejo,R,CHI,1944-06-06
atp_100089,Patrice Beust,R,FRA,1944-09-03
atp_100090,Dick Crealy,R,AUS,1944-09-18
atp_100091,Colin Dibley,R,AUS,1944-09-19
atp_100092,Alex Metreveli,R,RUS,1944-11-02
atp_100093,William Brown,R,USA,1945-01-14
atp_100094,Jim Osborne,R,USA,1945-02-01
atp_100096,Peter Burwash,R,CAN,1945-02-10
atp_100097,Nicholas Kalogeropoulos,R,GRE,1945-02-18
atp_100098,Ove Nils Bengtson,R,SWE,1945-04-05
atp_100099,Thomaz Koch,L,BRA,1945-05-11
atp_100100,Tony Roche,L,AUS,1945-05-17
atp_100101,Mike Belkin,R,CAN,1945-06-29
atp_100102,Joaquin Loyo Mayo,R,MEX,1945-08-16
atp_100103,Peter Curtis,R,GBR,1945-08-29
atp_100104,D Richard Russell,R,JAM,1945-09-08
atp_100105,Allan Stone,R,AUS,1945-10-14
atp_100106,Graham Stilwell,R,GBR,1945-11-15
atp_100107,Robert Rheinberger,R,AUS,1945-11-18
atp_100108,Chris Bovett,R,GBR,1945-12-25
atp_100109,Jun Kuki,R,JPN,1945-12-28
atp_100110,Terry Addison,R,AUS,1946-01-11
atp_100111,Ray Keldie,R,AUS,1946-01-17
atp_100112,John Clifton,R,GBR,1946-02-19
atp_100113,Jan Kodes,R,CZE,1946-03-01
atp_100114,Ray Ruffels,R,AUS,1946-03-23
atp_100116,Sherwood Stewart,R,USA,1946-06-06
atp_100117,Butch Seewagen,R,USA,1946-06-13
atp_100118,Ivan Molina,L,COL,1946-06-16
atp_100119,Ilie Nastase,R,ROU,1946-07-19
atp_100120,Robert Maud,R,RSA,1946-08-12
atp_100121,Raymond Moore,R,RSA,1946-08-24
atp_100122,Julian Ganzabal,R,ARG,1946-08-25
atp_100123,Patrick Hombergen,R,BEL,1946-09-08
atp_100124,Steve Turner,R,USA,1946-10-17
atp_100125,John Cooper,R,AUS,1946-11-04
atp_100126,Stan Smith,R,USA,1946-12-14
atp_100127,Tom Gorman,R,USA,1946-12-19
atp_100128,Cliff Richey,R,USA,1946-12-31
atp_100129,Jean Baptiste Chanfreau,R,FRA,1947-01-17
atp_100130,Vladimir Zednik,R,CZE,1947-02-01
atp_100131,Guillermo Oropez,R,USA,1947-02-07
atp_100132,Armistead Neely,R,USA,1947-03-19
atp_100133,Pat Cramer,R,RSA,1947-03-21
atp_100134,Roy Barth,R,USA,1947-03-30
atp_100135,Onny Parun,R,NZL,1947-04-15
atp_100136,Humphrey Hose,R,VEN,1947-05-04
atp_100137,Han Jurgen Pohmann,R,GER,1947-05-23
atp_100138,Dan Bleckinger,R,USA,1947-05-27
atp_100139,Gerald Battrick,R,GBR,1947-05-27
atp_100140,Steve Faulk,R,USA,1947-06-01
atp_100141,Zeljko Franulovic,R,CRO,1947-06-13
atp_100142,Peter Szoke,R,HUN,1947-08-08
atp_100143,Peter Fishbach,R,USA,1947-08-29
atp_100144,Robert Lutz,R,USA,1947-08-29
atp_100145,Dick Dell,R,USA,1947-09-29
atp_100146,Jun Kamiwazumi,R,JPN,1947-10-01
atp_100147,Marcello Lara,R,MEX,1947-10-05
atp_100148,Ismail El Shafei,R,EGY,1947-11-15
atp_100149,Toshiro Sakai,R,JPN,1947-11-23
atp_100150,Lito Alvarez,R,ARG,1947-12-05
atp_100151,Karl Coombes,R,AUS,1947-12-17
atp_100152,David Lloyd,R,GBR,1948-01-03
atp_100153,Patrice Hagelauer,R,FRA,1948-01-05
atp_100154,Peter Kanderal,R,SUI,1948-01-16
atp_100155,Ramiro Benavides,R,BOL,1948-01-30
atp_100156,Jasjit Singh,R,IND,1948-02-04
atp_100157,Stanley Pasarell,R,USA,1948-02-11
atp_100158,John Bartlett,R,AUS,1948-03-17
atp_100159,Vladimir Korotkov,R,RUS,1948-04-23
atp_100160,Georges Goven,R,FRA,1948-04-26
atp_100161,Jurgen Fassbender,R,GER,1948-05-28
atp_100162,Brian Fairlie,R,NZL,1948-06-13
atp_100163,Tom Leonard,R,USA,1948-07-15
atp_100164,Bill Lofgren,R,USA,1948-07-31
atp_100165,Steve Siegel,R,USA,1948-09-04
atp_100166,Gene Stuart Malin,R,USA,1948-10-01
atp_100167,Sever Muresan,R,ROU,1948-10-23
atp_100168,Kenneth Mcmillan,R,USA,1948-11-25
atp_100169,Ian Fletcher,R,AUS,1948-12-01
atp_100170,Bernard Mignot,R,BEL,1948-12-03
atp_100172,Modesto Tito Vazquez,R,ESP,1949-01-01
atp_100173,Andrew Pattison,R,USA,1949-01-30
atp_100174,Manuel Orantes,L,ESP,1949-02-06
atp_100175,Zan Guerry,R,USA,1949-02-12
atp_100176,Hans Kary,L,AUT,1949-02-23
atp_100177,Pavel Hutka,R,CZE,1949-02-28
atp_100178,Bob Giltinan,R,AUS,1949-04-07
atp_100179,Karl Meiler,R,GER,1949-04-30
atp_100180,Bill Lloyd,R,AUS,1949-05-07
atp_100181,Larry Turville,R,USA,1949-06-04
atp_100182,Mike Estep,R,USA,1949-07-19
atp_100183,Jim Ward,R,USA,1949-07-28
atp_100184,Lars Elvstrom,R,DEN,1949-08-18
atp_100185,Patrick Proisy,R,FRA,1949-09-10
atp_100186,Jeff Borowiak,R,USA,1949-09-25
atp_100187,Luis Felipe Tavares,R,BRA,1949-09-26
atp_100188,John Fort,R,USA,1949-09-28
atp_100189,Dale Power,R,CAN,1949-10-02
atp_100190,Norman Holmes,R,USA,1949-10-05
atp_100191,Doug Crawford,R,USA,1949-10-15
atp_100192,Kent Crawford,R,USA,1949-10-15
atp_100193,Wanaro Ngodrella,R,FRA,1949-10-19
atp_100194,Larry Parker,R,USA,1949-10-23
atp_100195,Nicolas Kelaidis,R,GRE,1949-10-29
atp_100196,Haroon Rahim,R,PAK,1949-11-12
atp_100197,Alejandro Pierola,R,CHI,1949-11-20
atp_100198,Alvaro Betancur,R,COL,1950-01-03
atp_100199,Patrice Dominguez,L,FRA,1950-01-12
atp_100200,Antonio Zugarelli,R,ITA,1950-01-17
atp_100201,Syd Ball,R,AUS,1950-01-24
atp_100202,George Amaya,L,USA,1950-02-12
atp_100203,Phil Dent,R,AUS,1950-02-14
atp_100204,Pancho Walthall,R,USA,1950-02-16
atp_100205,Paul Gerken,R,USA,1950-03-15
atp_100206,Kenichi Hirai,R,JPN,1950-03-19
atp_100207,Noel Phillips,R,AUS,1950-03-28
atp_100208,Dick R Bohrnstedt,R,USA,1950-04-28
atp_100209,George Taylor,R,USA,1950-05-04
atp_100210,Steve Docherty,R,AUS,1950-05-06
atp_100211,Louk Sanders,R,NED,1950-05-09
atp_100212,Franklin Robbins,R,USA,1950-06-13
atp_100213,Fred Hemmes,U,NED,1950-06-14
atp_100214,Adriano Panatta,R,ITA,1950-07-09
atp_100215,Fred Mcnair,R,USA,1950-07-22
atp_100216,Charles Owens,R,USA,1950-07-31
atp_100217,Robert Mckinley,R,USA,1950-08-05
atp_100218,Butch Palmer,R,USA,1950-09-04
atp_100219,Geoff Masters,R,AUS,1950-09-19
atp_100220,Jiri Hrebec,R,CZE,1950-09-19
atp_100221,Carlos Kirmayr,R,BRA,1950-09-23
atp_100222,Mike Powers,R,USA,1950-09-24
atp_100223,Jeff Simpson,R,NZL,1950-10-29
atp_100224,Peter Campbell,R,AUS,1950-11-10
atp_100225,Peter Doerner,R,AUS,1950-11-17
atp_100226,Mike Machette,R,USA,1951-01-27
atp_100227,Alvin Gardiner,R,AUS,1951-02-11
atp_100228,Kjell Johansson,R,SWE,1951-02-12
atp_100229,Dick Stockton,R,USA,1951-02-18
atp_100230,Welry Fritz,R,CAN,1951-02-19
atp_100231,Erik Van Dillen,R,USA,1951-02-21
atp_100232,Eddie Dibbs,R,USA,1951-02-23
atp_100233,Ricardo Cano,R,ARG,1951-02-26
atp_100234,Allan Mcdonald,R,AUS,1951-03-01
atp_100235,Antonio Munoz,R,ESP,1951-03-01
atp_100236,John James,R,AUS,1951-03-07
atp_100237,Bill Freer,R,RSA,1951-03-09
atp_100238,Rick Fisher,R,USA,1951-03-29
atp_100239,Hans Engert,R,GER,1951-04-22
atp_100240,Joao Soares,R,BRA,1951-04-25
atp_100241,Joel Bailey,R,USA,1951-04-25
atp_100242,Mike Collins,R,GBR,1951-05-01
atp_100243,Steve Krulevitz,R,USA,1951-05-30
atp_100244,John Alexander,R,AUS,1951-07-04
atp_100245,Jeff Austin,R,USA,1951-07-05
atp_100246,Frank Puncec,R,RSA,1951-07-09
atp_100247,Rolf Thung,L,NED,1951-07-27
atp_100248,Max Hurlimann,R,SUI,1951-07-30
atp_100249,Paolo Bertolucci,R,ITA,1951-08-03
atp_100250,Woody Blocher,R,USA,1951-08-24
atp_100251,Grover Raz Reid,R,USA,1951-08-27
atp_100252,Tim Gullikson,R,USA,1951-09-08
atp_100253,Tom Gullikson,L,USA,1951-09-08
atp_100254,George Glowa,R,USA,1951-10-01
atp_100255,Roscoe Tanner,L,USA,1951-10-15
atp_100256,Luis Baraldi,R,MEX,1951-10-21
atp_100257,Ross Case,R,AUS,1951-11-01
atp_100258,Jorge Andrew,R,VEN,1951-11-02
atp_100259,Peter Feigl,R,AUT,1951-11-30
atp_100260,Gary Groslimond,R,USA,1952-01-03
atp_100261,Brian Gottfried,R,USA,1952-01-27
atp_100262,Rolf Norberg,R,SWE,1952-01-31
atp_100263,John Andrews,R,USA,1952-02-05
atp_100264,Lajos Levai,R,YUG,1952-02-07
atp_100265,Cliff Letcher,R,AUS,1952-02-09
atp_100266,John Feaver,R,GBR,1952-02-16
atp_100267,Rayno Seegers,R,RSA,1952-02-29
atp_100268,Denis Naegelen,R,FRA,1952-03-14
atp_100269,Joe Garcia,R,USA,1952-03-17
atp_100270,Anand Amritraj,R,IND,1952-03-20
atp_100271,Jean Francois Caujolle,L,FRA,1952-03-31
atp_100272,Sandy Mayer,R,USA,1952-04-05
atp_100273,Kim Warwick,R,AUS,1952-04-08
atp_100274,Eric Deblicker,R,FRA,1952-04-17
atp_100275,Hartmut Kirchhubel,R,GER,1952-04-23
atp_100276,Terry Moor,L,USA,1952-04-23
atp_100277,Jacques Thamin,R,FRA,1952-05-23
atp_100278,Frank Gebert,R,GER,1952-06-11
atp_100279,Mike Cahill,R,USA,1952-06-17
atp_100281,Sashi Menon,R,IND,1952-08-09
atp_100282,Guillermo Vilas,L,ARG,1952-08-17
atp_100283,Andre Zietsmann,R,RSA,1952-08-19
atp_100284,Jimmy Connors,L,USA,1952-09-02
atp_100285,Rod Frawley,R,AUS,1952-09-08
atp_100286,Harold Solomon,R,USA,1952-09-17
atp_100287,Robin Drysdale,R,GBR,1952-09-18
atp_100288,Tenny Svensson,R,SWE,1952-09-21
atp_100289,Byron Bertram,R,RSA,1952-10-29
atp_100290,Timothy Noonan,R,USA,1952-10-31
atp_100291,Ian Harris,R,USA,1952-11-16
atp_100292,Alvaro Fillol,R,CHI,1952-12-04
atp_100293,John Marks,R,AUS,1952-12-09
atp_100294,Rejean Genois,R,CAN,1952-12-30
atp_100295,Richard Legendre,R,CAN,1953-01-19
atp_100296,Chris Gunning,R,NZL,1953-02-07
atp_100297,Corrado Barazzutti,R,ITA,1953-02-19
atp_100299,James Chico Hagey,R,USA,1953-02-25
atp_100300,Jose Higueras,R,ESP,1953-03-01
atp_100301,Jim Delaney,R,USA,1953-03-12
atp_100302,Joaquim Rasgado Jr,R,BRA,1953-03-24
atp_100303,Henry Bunis,R,USA,1953-03-27
atp_100304,Robert Kreiss,R,USA,1953-04-30
atp_100305,Mark Farrell,R,GBR,1953-05-06
atp_100306,Michael Wayman,R,GBR,1953-05-06
atp_100307,Paul Torre,R,FRA,1953-05-18
atp_100308,Robert Trogolo,R,RSA,1953-06-15
atp_100309,Raul Ramirez,R,MEX,1953-06-20
atp_100310,Mike Myburg,R,RSA,1953-06-23
atp_100311,Ulises Quezada,R,CHI,1953-07-14
atp_100312,Chiraid Mukherjea,R,IND,1953-08-14
atp_100313,Keith Richardson,R,USA,1953-08-18
atp_100314,Bernard Fritz,R,FRA,1953-10-05
atp_100315,Hank Pfister,R,USA,1953-10-09
atp_100316,Scott Carnahan,R,USA,1953-10-24
atp_100317,Stephen Warboys,R,GBR,1953-10-25
atp_100318,Roger Guedes,R,BRA,1953-11-03
atp_100319,Rick Fagel,R,USA,1953-11-29
atp_100320,Mark Meyers,R,USA,1953-12-05
atp_100321,Vijay Amritraj,R,IND,1953-12-14
atp_100322,Emilio Montano,R,MEX,1953-12-18
atp_100323,Givaldo Barbosa,R,BRA,1954-01-25
atp_100324,John Whitlinger,R,USA,1954-02-04
atp_100325,Ulrich Pinner,R,GER,1954-02-07
atp_100326,Russell Simpson,R,NZL,1954-02-22
atp_100327,Willem Prinsloo,R,RSA,1954-02-25
atp_100328,Rand Evett,R,USA,1954-03-01
atp_100329,Otto Panman,R,NED,1954-03-25
atp_100330,David Imonitie,R,NGR,1954-04-10
atp_100331,Jean Louis Haillet,R,FRA,1954-05-07
atp_100332,Balazs Taroczy,R,HUN,1954-05-09
atp_100333,Shigeyuki Nishio,R,JPN,1954-05-23
atp_100334,Ernie Ewert,R,AUS,1954-06-05
atp_100335,David Parker,R,USA,1954-06-07
atp_100336,Guillermo Aubone,L,ARG,1954-06-08
atp_100338,Benjy Robins,R,USA,1954-06-30
atp_100339,Victor Amaya,L,USA,1954-07-02
atp_100340,Sam Vuille,R,USA,1954-07-06
atp_100341,Gonzalo Nunez,R,USA,1954-07-21
atp_100342,Vitas Gerulaitis,R,USA,1954-07-26
atp_100343,John Lloyd,R,GBR,1954-08-27
atp_100344,Eric Friedler,R,USA,1954-09-08
atp_100345,Pat Dupre,R,USA,1954-09-16
atp_100346,Paul Kronk,R,AUS,1954-09-22
atp_100347,Peter Kronk,R,AUS,1954-09-22
atp_100348,Gerard Toulon,R,FRA,1954-09-24
atp_100349,Glen Holroyd,R,USA,1954-09-25
atp_100350,Franz Josef Wich,R,GER,1954-10-11
atp_100351,Freddie De Jesus,R,PUR,1954-10-30
atp_100352,John Lucas,R,USA,1954-10-31
atp_100353,Bruce Kleege,R,USA,1954-11-01
atp_100354,Bernard Mitton,R,RSA,1954-11-09
atp_100355,Victor Eke,R,AUS,1954-11-11
atp_100356,Paul Mcnamee,R,AUS,1954-11-12
atp_100357,Bhanu Nunna,R,IND,1954-11-13
atp_100358,Mike Fishbach,R,USA,1954-12-01
atp_100359,Richard Lewis,L,GBR,1954-12-06
atp_100360,Brian Teacher,R,USA,1954-12-23
atp_100361,Willie Davies,R,GBR,1955-01-01
atp_100362,Peter Fleming,R,USA,1955-01-21
atp_100363,Jiri Granat,R,CZE,1955-01-28
atp_100364,Jonathan Smith,R,GBR,1955-01-29
atp_100365,Peter Holl,R,GER,1955-01-29
atp_100366,Heiner Seuss,R,GER,1955-02-04
atp_100367,Belus Prajoux,R,CHI,1955-02-27
atp_100368,Haroon Ismail,R,ZIM,1955-02-27
atp_100369,Herve Gauvain,R,FRA,1955-03-04
atp_100370,Helmut Beermann,R,GER,1955-03-09
atp_100371,Robert Baumgartner,R,GER,1955-03-11
atp_100372,Trey Waltke,R,USA,1955-03-16
atp_100373,Christopher Sylvan,R,USA,1955-03-18
atp_100374,Javier Soler,L,ESP,1955-03-25
atp_100375,John Hayes,R,USA,1955-04-07
atp_100376,Buster C Mottram,R,GBR,1955-04-25
atp_100377,Colin Dowdeswell,R,GBR,1955-05-12
atp_100378,David Schneider,R,USA,1955-05-17
atp_100379,Craig Edwards,R,USA,1955-05-19
atp_100380,Butch Walts,R,USA,1955-06-04
atp_100381,Michael Greenberg,R,USA,1955-06-11
atp_100382,Chris Kachel,R,AUS,1955-06-19
atp_100383,Peter Mcnamara,R,AUS,1955-07-05
atp_100384,Alejandro Cortes,R,COL,1955-07-14
atp_100385,Filip Krajcik,R,AUT,1955-07-23
atp_100386,Jose Garcia G003,R,ESP,1955-07-23
atp_100387,Jiri Prucha,R,CZE,1955-08-10
atp_100388,Peter Pearson,R,USA,1955-08-12
atp_100389,Horace Reid,R,USA,1955-08-14
atp_100390,Trevor Allan,L,AUS,1955-08-17
atp_100391,Larry Davidson,R,USA,1955-08-21
atp_100392,Richard Meyer,R,USA,1955-09-04
atp_100394,Angel Gimenez,R,ESP,1955-10-10
atp_100395,Victor Pecci,R,PAR,1955-10-15
atp_100396,Martin Robinson,L,GBR,1955-10-19
atp_100397,Terry Rocavert,R,AUS,1955-10-21
atp_100398,Julio Goes,R,BRA,1955-10-25
atp_100399,Rocky Maguire,R,USA,1955-10-27
atp_100400,Hubertus Hoyt,R,USA,1955-11-03
atp_100401,Sean Sorensen,R,IRL,1955-11-12
atp_100402,Francisco Gonzalez,R,PAR,1955-11-19
atp_100403,Rolf Gehring,R,GER,1955-11-25
atp_100404,David Sherbeck,R,USA,1955-12-02
atp_100405,Fernando Maynetto,R,PER,1955-12-02
atp_100406,Greg Halder,R,CAN,1955-12-05
atp_100407,Dale Collings,R,AUS,1955-12-16
atp_100408,Gary Plock,R,USA,1955-12-21
atp_100409,Randy Crawford,R,USA,1955-12-22
atp_100410,Tim Garcia,R,USA,1955-12-28
atp_100411,Pavel Slozil,R,CZE,1955-12-29
atp_100412,Bruce Nichols,R,USA,1955-12-31
atp_100414,Gunther Gnettner,R,GER,1956-01-12
atp_100415,Michael Grant,R,USA,1956-02-03
atp_100416,Bill Maze,R,USA,1956-02-09
atp_100417,Hans Gildemeister,R,CHI,1956-02-09
atp_100418,Geoff Martinez,R,USA,1956-02-13
atp_100419,Todd Lundy,R,USA,1956-02-17
atp_100420,Hans Ritschard,R,SUI,1956-02-25
atp_100421,Jan Norback,R,SWE,1956-03-06
atp_100422,Bruce Manson,L,USA,1956-03-20
atp_100423,Jochen Hierl,R,GER,1956-03-21
atp_100424,Warren Eber,R,USA,1956-03-28
atp_100425,Junie Chatman,R,USA,1956-03-29
atp_100426,Hans Peter Kandler,R,AUT,1956-04-02
atp_100427,Ferrante Rocchi,L,ITA,1956-04-11
atp_100428,Gene Mayer,R,USA,1956-04-11
atp_100429,Miguel Mir,R,ESP,1956-04-18
atp_100430,David Carter,R,AUS,1956-04-21
atp_100431,Mansour Bahrami,R,IRI,1956-04-26
atp_100432,Robert Bettauer,R,CAN,1956-05-02
atp_100433,Fritz Don,R,NED,1956-05-13
atp_100434,Tomas Smid,R,CZE,1956-05-20
atp_100435,Regis Brunet,R,FRA,1956-05-31
atp_100436,Nick Saviano,L,USA,1956-06-05
atp_100437,Bjorn Borg,R,SWE,1956-06-06
atp_100438,Carlos Gattiker,R,ARG,1956-06-06
atp_100439,Mike Barr,R,USA,1956-06-27
atp_100440,Eddie Edwards,R,RSA,1956-07-03
atp_100441,Mark Darby,R,USA,1956-07-03
atp_100442,Gianni Marchetti,R,ITA,1956-07-08
atp_100443,Christophe Freyss,L,FRA,1956-08-30
atp_100444,Werner Zirngibl,R,GER,1956-09-04
atp_100445,Steve Denton,R,USA,1956-09-05
atp_100446,John Sadri,R,USA,1956-09-19
atp_100447,Juan Nunez,R,CHI,1956-09-23
atp_100448,Bruce Foxworth,R,USA,1956-09-25
atp_100449,Stanislav Birner,R,CZE,1956-10-11
atp_100450,Leo Palin,R,FIN,1956-10-20
atp_100451,Tony Graham,R,USA,1956-10-29
atp_100453,Jose Luis Damiani,R,URU,1956-11-21
atp_100454,Mehl Ampon,R,USA,1956-11-30
atp_100455,Tony Lloyd,R,GBR,1956-12-03
atp_100456,Ferdi Taygan,R,USA,1956-12-05
atp_100457,Carlos Soares,R,BRA,1956-12-13
atp_100458,Pedro Gonzalez G162,R,PUR,1956-12-18
atp_100459,Tracy Delatte,R,USA,1956-12-22
atp_100460,Jose Lopez Maeso,R,ESP,1956-12-24
atp_100461,Billy Martin,R,USA,1956-12-25
atp_100462,Jeff Etterbeek,R,USA,1956-12-31
atp_100463,Ben Mckown,R,USA,1957-01-11
atp_100464,Warren Maher,R,AUS,1957-01-15
atp_100465,Mike Shore,R,USA,1957-01-20
atp_100466,Maurice Hunter,R,USA,1957-01-27
atp_100468,Dominique Bedel,R,FRA,1957-02-20
atp_100469,Ashok Amritraj,R,IND,1957-02-22
atp_100470,Juan Carlos Andrade,R,ESP,1957-02-22
atp_100471,Mark Vines,L,USA,1957-02-23
atp_100472,Craig Wittus,R,USA,1957-02-24
atp_100473,Glenn Petrovic,R,USA,1957-03-03
atp_100474,Chris Lewis Nzl,R,NZL,1957-03-09
atp_100475,Matt Mitchell,R,USA,1957-03-16
atp_100476,Nigel Sears,R,GBR,1957-04-04
atp_100477,Gianni Ocleppo,R,ITA,1957-04-06
atp_100478,Pascal Deniau,R,FRA,1957-04-07
atp_100479,Reinhart Probst,R,GER,1957-04-17
atp_100480,Josef Brabenec,R,CAN,1957-04-24
atp_100481,Roberto Vizcaino,R,ESP,1957-04-25
atp_100482,Jochen Settelmeyer,R,GER,1957-05-07
atp_100483,Christophe Casa,R,FRA,1957-05-30
atp_100484,Pem Guerry,R,USA,1957-06-06
atp_100485,Tsuyoshi Fukui,R,JPN,1957-06-22
atp_100486,Christophe Roger Vasselin,R,FRA,1957-07-08
atp_100487,Renald Etienne,R,USA,1957-07-14
atp_100488,Chris Delaney,R,USA,1957-07-16
atp_100489,Larry Stefanki,R,USA,1957-07-23
atp_100490,Jaroslav Navratil,R,CZE,1957-07-24
atp_100491,Alan Chandronnait,R,USA,1957-07-31
atp_100492,John Austin,R,USA,1957-07-31
atp_100493,Eric Sherbeck,R,USA,1957-08-07
atp_100494,John Picken,R,CAN,1957-08-09
atp_100495,Wayne Hampson,R,AUS,1957-08-23
atp_100496,Charles Buzz Strode,R,USA,1957-09-05
atp_100497,Markus Gunthardt,R,SUI,1957-09-10
atp_100498,Klaus Eberhard,R,GER,1957-09-15
atp_100499,Chris Mayotte,R,USA,1957-09-16
atp_100500,Rohun Beven,R,GBR,1957-09-21
atp_100501,Gregoire Rafaitin,R,FRA,1957-09-26
atp_100502,Vincent Van Patten,R,USA,1957-10-17
atp_100503,Lorenzo Fargas,R,ESP,1957-10-19
atp_100504,Jerome Vanier,L,FRA,1957-11-02
atp_100505,Famiano Meneschincheri,R,ITA,1957-11-13
atp_100506,Howard Schoenfield,R,USA,1957-11-15
atp_100507,Curt Stalder,R,USA,1957-11-20
atp_100508,Peter Spang,R,GER,1957-11-20
atp_100509,Joakim Berner,R,FIN,1957-11-21
atp_100510,Franco Merlone,R,ITA,1957-12-16
atp_100511,Kevin Manning,R,USA,1957-12-18
atp_100512,Robert Reininger,R,AUT,1958-01-01
atp_100513,Hugo Roverano,R,URU,1958-01-03
atp_100514,Manfred Jungnitsch,R,GER,1958-01-03
atp_100515,Shlomo Glickstein,R,ISR,1958-01-06
atp_100516,Andrew Jarrett,R,GBR,1958-01-09
atp_100517,Matt Doyle,R,USA,1958-01-13
atp_100518,Ricardo Acuna,R,CHI,1958-01-13
atp_100519,Scott Mccain,R,USA,1958-01-15
atp_100520,Juan Farrow,R,USA,1958-01-18
atp_100521,Doug Adler,L,USA,1958-01-20
atp_100522,Chris Dunk,R,USA,1958-01-23
