match_id,player_id,pts,rank,winner,sets,1,2,3,4,5,avg_odds,max_odds,total_pts,service_pts,return_pts,aces,bp_saved,bp_faced,first_serve_rtn_won,second_serve_rtn_won,first_serve_in,dbl_faults,first_serve_per
m_2019_A_17,atp_200282,1353.0,29.0,True,3.0,6.0,7.0,6.0,,,1.05,1.07,97.0,62.0,35.0,5.0,1.0,2.0,18.0,17.0,60.0,2.0,0.6741573033707865
m_2019_A_18,atp_104678,252.0,200.0,True,3.0,6.0,1.0,2.0,6.0,6.0,1.34,1.4,116.0,79.0,37.0,12.0,2.0,6.0,21.0,16.0,78.0,0.0,0.6141732283464567
m_2019_A_19,atp_111456,692.0,81.0,True,3.0,6.0,6.0,2.0,6.0,,3.46,3.75,124.0,74.0,50.0,8.0,7.0,11.0,20.0,30.0,63.0,4.0,0.5526315789473685
m_2019_A_20,atp_105967,319.0,166.0,True,3.0,6.0,7.0,4.0,6.0,,1.81,1.91,140.0,90.0,50.0,20.0,5.0,9.0,26.0,24.0,95.0,2.0,0.6985294117647058
m_2019_A_21,atp_104607,865.0,57.0,True,3.0,6.0,6.0,7.0,,,1.42,1.47,94.0,58.0,36.0,12.0,1.0,1.0,18.0,18.0,49.0,1.0,0.6533333333333333
m_2019_A_22,atp_111442,740.0,72.0,True,3.0,6.0,7.0,6.0,,,1.31,1.36,98.0,64.0,34.0,9.0,0.0,0.0,16.0,18.0,60.0,1.0,0.7407407407407407
m_2019_A_24,atp_104312,1170.0,35.0,True,3.0,6.0,4.0,6.0,6.0,,1.84,1.9,111.0,78.0,33.0,12.0,5.0,6.0,10.0,23.0,62.0,5.0,0.5740740740740741
m_2019_A_25,atp_104792,1195.0,33.0,True,3.0,6.0,6.0,6.0,,,1.54,1.58,93.0,51.0,42.0,10.0,4.0,5.0,25.0,17.0,45.0,3.0,0.6
m_2019_A_26,atp_106415,758.0,69.0,True,3.0,6.0,7.0,4.0,6.0,,1.77,1.87,157.0,101.0,56.0,10.0,19.0,22.0,19.0,37.0,109.0,2.0,0.6987179487179487
m_2019_A_27,atp_105357,1108.0,37.0,True,3.0,6.0,3.0,7.0,6.0,,1.24,1.27,127.0,80.0,47.0,11.0,8.0,11.0,26.0,21.0,80.0,3.0,0.6956521739130435
m_2019_A_28,atp_126203,964.0,50.0,True,3.0,6.0,7.0,6.0,,,2.0,2.09,117.0,73.0,44.0,15.0,5.0,6.0,21.0,23.0,66.0,1.0,0.6470588235294118
m_2019_A_29,atp_105138,1605.0,24.0,True,3.0,6.0,6.0,6.0,6.0,6.0,1.21,1.26,164.0,113.0,51.0,7.0,4.0,5.0,19.0,32.0,107.0,0.0,0.7278911564625851
m_2019_A_30,atp_105227,4160.0,7.0,True,3.0,6.0,6.0,7.0,,,1.25,1.3,110.0,68.0,42.0,24.0,5.0,6.0,26.0,16.0,63.0,2.0,0.6774193548387096
m_2019_A_31,atp_103819,6420.0,3.0,True,3.0,6.0,6.0,6.0,,,1.02,1.04,100.0,62.0,38.0,14.0,0.0,0.0,24.0,14.0,46.0,2.0,0.5609756097560976
m_2019_A_32,atp_104926,2315.0,13.0,True,2.0,7.0,7.0,3.0,,,1.45,1.49,107.0,69.0,38.0,12.0,8.0,10.0,22.0,16.0,68.0,3.0,0.6666666666666666
m_2019_A_33,atp_125802,658.0,84.0,True,2.0,4.0,7.0,6.0,4.0,,1.42,1.48,138.0,74.0,64.0,8.0,10.0,13.0,25.0,39.0,70.0,12.0,0.5882352941176471
m_2019_A_34,atp_104919,920.0,53.0,True,3.0,7.0,7.0,4.0,6.0,,1.81,1.89,141.0,99.0,42.0,19.0,1.0,2.0,18.0,24.0,80.0,5.0,0.6299212598425197
m_2019_A_35,atp_105453,3750.0,9.0,True,2.0,3.0,6.0,6.0,6.0,3.0,1.02,1.03,132.0,73.0,59.0,6.0,6.0,8.0,23.0,36.0,73.0,3.0,0.6697247706422018
m_2019_A_38,atp_105992,660.0,83.0,True,3.0,6.0,7.0,6.0,,,1.59,1.63,93.0,56.0,37.0,20.0,0.0,0.0,18.0,19.0,42.0,0.0,0.6363636363636364
m_2019_A_39,atp_106421,1865.0,19.0,True,3.0,6.0,6.0,6.0,,,1.17,1.2,92.0,52.0,40.0,7.0,4.0,4.0,19.0,21.0,43.0,4.0,0.5972222222222222
m_2019_A_40,atp_103333,739.0,73.0,True,3.0,6.0,7.0,7.0,7.0,,1.79,1.87,152.0,121.0,31.0,39.0,3.0,4.0,20.0,11.0,111.0,5.0,0.7025316455696202
m_2019_A_41,atp_106432,2435.0,12.0,True,3.0,6.0,6.0,6.0,,,1.16,1.2,95.0,58.0,37.0,16.0,3.0,3.0,22.0,15.0,50.0,3.0,0.6329113924050633
m_2019_A_42,atp_111202,1585.0,25.0,True,3.0,6.0,6.0,6.0,6.0,6.0,1.52,1.59,164.0,110.0,54.0,10.0,1.0,2.0,30.0,24.0,101.0,2.0,0.696551724137931
m_2019_A_43,atp_106109,343.0,155.0,True,3.0,4.0,6.0,6.0,6.0,,3.17,3.36,123.0,75.0,48.0,22.0,2.0,4.0,29.0,19.0,63.0,3.0,0.6176470588235294
m_2019_A_44,atp_105311,1017.0,44.0,True,3.0,7.0,4.0,7.0,4.0,6.0,1.77,1.93,176.0,117.0,59.0,19.0,9.0,13.0,35.0,24.0,119.0,1.0,0.672316384180791
m_2019_A_45,atp_105807,1705.0,23.0,True,3.0,6.0,2.0,6.0,7.0,6.0,1.28,1.3,170.0,108.0,62.0,20.0,2.0,4.0,23.0,39.0,108.0,3.0,0.6923076923076923
m_2019_A_46,atp_105539,599.0,96.0,True,3.0,6.0,6.0,6.0,7.0,,2.0,2.13,145.0,97.0,48.0,13.0,8.0,10.0,23.0,25.0,81.0,3.0,0.574468085106383
m_2019_A_47,atp_104468,1280.0,30.0,True,3.0,7.0,6.0,6.0,,,1.24,1.28,104.0,67.0,37.0,10.0,3.0,4.0,16.0,21.0,54.0,3.0,0.5806451612903226
m_2019_A_48,atp_100644,6385.0,4.0,True,3.0,6.0,6.0,6.0,,,1.11,1.13,94.0,52.0,42.0,11.0,1.0,3.0,17.0,25.0,46.0,6.0,0.5974025974025974
m_2019_A_49,atp_105676,1785.0,22.0,True,3.0,6.0,6.0,6.0,,,1.17,1.22,88.0,43.0,45.0,9.0,1.0,2.0,25.0,20.0,39.0,3.0,0.6290322580645161
m_2019_A_50,atp_133430,1440.0,27.0,True,3.0,6.0,6.0,7.0,,,1.11,1.14,102.0,66.0,36.0,15.0,2.0,3.0,15.0,21.0,58.0,3.0,0.651685393258427
m_2019_A_51,atp_106121,691.0,82.0,True,0.0,5.0,4.0,,,,3.8,4.1,64.0,38.0,26.0,3.0,5.0,7.0,19.0,7.0,38.0,2.0,0.6229508196721312
m_2019_A_52,atp_106298,1245.0,31.0,True,3.0,6.0,7.0,6.0,,,1.6,1.65,102.0,61.0,41.0,20.0,3.0,5.0,20.0,21.0,58.0,1.0,0.651685393258427
m_2019_A_53,atp_105657,823.0,60.0,True,3.0,6.0,6.0,6.0,,,1.62,1.67,91.0,62.0,29.0,11.0,4.0,5.0,11.0,18.0,53.0,3.0,0.6022727272727273
m_2019_A_54,atp_104259,1215.0,32.0,True,3.0,6.0,6.0,6.0,,,1.04,1.08,95.0,64.0,31.0,10.0,10.0,10.0,21.0,10.0,45.0,1.0,0.5
m_2019_A_56,atp_104871,1120.0,36.0,True,3.0,3.0,7.0,6.0,6.0,7.0,1.59,1.67,185.0,128.0,57.0,29.0,3.0,6.0,23.0,34.0,126.0,8.0,0.6737967914438503
m_2019_A_57,atp_105936,620.0,93.0,True,3.0,4.0,0.0,6.0,7.0,6.0,1.64,1.7,132.0,84.0,48.0,20.0,1.0,7.0,30.0,18.0,77.0,3.0,0.5923076923076923
m_2019_A_58,atp_200615,360.0,149.0,True,3.0,7.0,7.0,6.0,,,1.44,1.52,121.0,80.0,41.0,16.0,1.0,1.0,24.0,17.0,66.0,4.0,0.6804123711340206
m_2019_A_59,atp_104527,830.0,59.0,True,0.0,3.0,3.0,,,,1.25,1.29,42.0,26.0,16.0,3.0,2.0,4.0,5.0,11.0,21.0,1.0,0.4883720930232558
m_2019_A_60,atp_109739,744.0,71.0,True,3.0,6.0,6.0,6.0,,,1.31,1.33,86.0,53.0,33.0,13.0,1.0,2.0,16.0,17.0,58.0,1.0,0.7532467532467533
m_2019_A_61,atp_104925,9135.0,1.0,True,3.0,6.0,6.0,6.0,,,1.01,1.01,109.0,51.0,58.0,6.0,1.0,2.0,35.0,23.0,48.0,2.0,0.7384615384615385
m_2019_A_62,atp_105683,1900.0,17.0,True,3.0,6.0,7.0,6.0,,,1.77,1.85,93.0,69.0,24.0,30.0,0.0,0.0,17.0,7.0,58.0,1.0,0.725
m_2019_A_63,atp_106233,4095.0,8.0,True,3.0,6.0,6.0,5.0,1.0,6.0,1.29,1.32,166.0,106.0,60.0,9.0,9.0,14.0,19.0,41.0,104.0,13.0,0.5810055865921788
m_2019_A_64,atp_106043,1925.0,16.0,True,3.0,6.0,7.0,3.0,6.0,6.0,1.19,1.25,181.0,106.0,75.0,11.0,7.0,14.0,35.0,40.0,119.0,5.0,0.6761363636363636
m_2019_A_65,atp_105932,1820.0,20.0,True,3.0,3.0,6.0,3.0,6.0,6.0,1.29,1.32,137.0,83.0,54.0,9.0,4.0,10.0,26.0,28.0,85.0,12.0,0.6204379562043796
m_2019_A_66,atp_126774,2095.0,15.0,True,3.0,6.0,2.0,6.0,7.0,,1.12,1.15,129.0,74.0,55.0,14.0,2.0,4.0,32.0,23.0,64.0,2.0,0.6464646464646465
m_2019_A_67,atp_104312,1170.0,35.0,True,3.0,6.0,6.0,6.0,,,1.69,1.77,99.0,53.0,46.0,14.0,1.0,3.0,23.0,23.0,53.0,3.0,0.6883116883116883
m_2019_A_68,atp_104607,865.0,57.0,True,3.0,6.0,6.0,6.0,,,1.11,1.15,83.0,52.0,31.0,7.0,0.0,0.0,13.0,18.0,43.0,1.0,0.6935483870967742
m_2019_A_69,atp_105227,4160.0,7.0,True,3.0,7.0,6.0,6.0,6.0,,1.1,1.12,152.0,89.0,63.0,25.0,4.0,7.0,40.0,23.0,82.0,6.0,0.6074074074074074
m_2019_A_70,atp_126207,1080.0,39.0,True,3.0,4.0,6.0,6.0,7.0,,4.98,5.59,130.0,83.0,47.0,10.0,4.0,6.0,23.0,24.0,80.0,2.0,0.7017543859649122
m_2019_A_71,atp_104269,1410.0,28.0,True,3.0,6.0,7.0,6.0,,,1.22,1.24,105.0,68.0,37.0,4.0,7.0,9.0,22.0,15.0,62.0,3.0,0.6138613861386139
m_2019_A_72,atp_103819,6420.0,3.0,True,3.0,7.0,7.0,6.0,,,1.02,1.03,119.0,76.0,43.0,11.0,2.0,3.0,19.0,24.0,62.0,1.0,0.6262626262626263
m_2019_A_73,atp_126203,964.0,50.0,True,3.0,6.0,6.0,7.0,7.0,,2.37,2.51,175.0,119.0,56.0,15.0,12.0,13.0,32.0,24.0,121.0,2.0,0.6836158192090396
m_2019_A_74,atp_111575,2835.0,11.0,True,3.0,6.0,6.0,6.0,,,1.22,1.25,107.0,59.0,48.0,16.0,5.0,7.0,33.0,15.0,64.0,4.0,0.64
m_2019_A_75,atp_105341,573.0,102.0,True,3.0,6.0,6.0,6.0,3.0,7.0,3.25,3.4,172.0,122.0,50.0,2.0,4.0,5.0,16.0,34.0,133.0,4.0,0.8012048192771084
m_2019_A_76,atp_105138,1605.0,24.0,True,3.0,6.0,6.0,3.0,6.0,6.0,1.32,1.36,167.0,98.0,69.0,10.0,6.0,9.0,39.0,30.0,105.0,2.0,0.7094594594594594
m_2019_A_77,atp_105777,1790.0,21.0,True,3.0,6.0,6.0,6.0,7.0,,1.13,1.16,157.0,101.0,56.0,8.0,3.0,3.0,27.0,29.0,97.0,2.0,0.7293233082706767
m_2019_A_78,atp_200282,1353.0,29.0,True,3.0,6.0,6.0,6.0,4.0,6.0,1.05,1.06,170.0,107.0,63.0,5.0,9.0,13.0,33.0,30.0,107.0,7.0,0.622093023255814
m_2019_A_79,atp_104745,7480.0,2.0,True,3.0,6.0,6.0,6.0,,,1.06,1.07,93.0,59.0,34.0,6.0,4.0,4.0,17.0,17.0,53.0,4.0,0.654320987654321
m_2019_A_80,atp_105453,3750.0,9.0,True,3.0,6.0,7.0,5.0,5.0,7.0,1.16,1.19,166.0,122.0,44.0,9.0,3.0,5.0,28.0,16.0,121.0,2.0,0.7658227848101266
m_2019_A_81,atp_105683,1900.0,17.0,True,3.0,6.0,7.0,7.0,7.0,,1.29,1.35,163.0,115.0,48.0,39.0,1.0,3.0,18.0,30.0,104.0,6.0,0.6753246753246753
m_2019_A_82,atp_105311,1017.0,44.0,True,3.0,7.0,4.0,7.0,5.0,6.0,2.95,3.12,189.0,125.0,64.0,28.0,14.0,16.0,30.0,34.0,130.0,1.0,0.7182320441988951
m_2019_A_83,atp_105807,1705.0,23.0,True,3.0,6.0,6.0,7.0,,,1.63,1.69,102.0,57.0,45.0,5.0,3.0,5.0,15.0,30.0,47.0,3.0,0.573170731707317
m_2019_A_84,atp_106432,2435.0,12.0,True,3.0,6.0,6.0,6.0,,,1.29,1.32,98.0,66.0,32.0,13.0,4.0,5.0,17.0,15.0,52.0,5.0,0.5531914893617021
m_2019_A_85,atp_104926,2315.0,13.0,True,3.0,7.0,6.0,7.0,,,1.6,1.68,113.0,77.0,36.0,5.0,1.0,2.0,14.0,22.0,71.0,3.0,0.696078431372549
m_2019_A_87,atp_105936,620.0,93.0,True,3.0,6.0,7.0,7.0,,,1.39,1.45,142.0,80.0,62.0,15.0,7.0,10.0,32.0,30.0,78.0,2.0,0.639344262295082
m_2019_A_88,atp_105676,1785.0,22.0,True,3.0,5.0,7.0,6.0,6.0,,1.22,1.25,126.0,81.0,45.0,12.0,1.0,3.0,21.0,24.0,82.0,2.0,0.7321428571428571
m_2019_A_89,atp_106109,343.0,155.0,True,3.0,2.0,6.0,4.0,7.0,6.0,5.94,6.87,174.0,96.0,78.0,11.0,6.0,12.0,38.0,40.0,85.0,3.0,0.5592105263157895
m_2019_A_90,atp_106298,1245.0,31.0,True,3.0,7.0,7.0,5.0,6.0,,1.73,1.83,148.0,106.0,42.0,15.0,5.0,6.0,22.0,20.0,93.0,5.0,0.6595744680851063
m_2019_A_91,atp_133430,1440.0,27.0,True,3.0,6.0,7.0,6.0,,,1.15,1.17,99.0,73.0,26.0,16.0,7.0,7.0,8.0,18.0,67.0,4.0,0.6767676767676768
m_2019_A_92,atp_200615,360.0,149.0,True,2.0,7.0,6.0,2.0,,,5.04,5.75,95.0,62.0,33.0,13.0,5.0,5.0,22.0,11.0,53.0,3.0,0.6091954022988506
m_2019_A_93,atp_106421,1865.0,19.0,True,3.0,6.0,6.0,6.0,,,1.2,1.23,88.0,53.0,35.0,10.0,0.0,0.0,13.0,22.0,40.0,1.0,0.6153846153846154
m_2019_A_94,atp_100644,6385.0,4.0,True,3.0,7.0,6.0,5.0,6.0,6.0,1.12,1.13,177.0,119.0,58.0,29.0,10.0,13.0,32.0,26.0,116.0,13.0,0.6946107784431138
m_2019_A_96,atp_126774,2095.0,15.0,True,3.0,6.0,3.0,7.0,6.0,,1.35,1.4,136.0,91.0,45.0,18.0,2.0,4.0,23.0,22.0,83.0,1.0,0.6335877862595419
m_2019_A_97,atp_104607,865.0,57.0,True,3.0,5.0,6.0,7.0,6.0,,1.26,1.3,139.0,98.0,41.0,19.0,7.0,8.0,17.0,24.0,83.0,1.0,0.5804195804195804
m_2019_A_98,atp_103819,6420.0,3.0,True,3.0,6.0,7.0,6.0,,,1.05,1.07,87.0,57.0,30.0,10.0,0.0,0.0,17.0,13.0,43.0,3.0,0.6142857142857143
m_2019_A_99,atp_126207,1080.0,39.0,True,3.0,6.0,6.0,4.0,6.0,6.0,2.03,2.18,148.0,99.0,49.0,16.0,4.0,6.0,25.0,24.0,85.0,5.0,0.6159420289855072
m_2019_A_100,atp_105777,1790.0,21.0,True,3.0,7.0,6.0,6.0,,,1.07,1.09,101.0,64.0,37.0,13.0,2.0,4.0,20.0,17.0,53.0,3.0,0.6309523809523809
m_2019_A_101,atp_105138,1605.0,24.0,True,3.0,6.0,7.0,6.0,,,2.6,2.75,105.0,61.0,44.0,5.0,0.0,2.0,18.0,26.0,56.0,2.0,0.6511627906976745
m_2019_A_102,atp_104745,7480.0,2.0,True,3.0,6.0,6.0,6.0,,,1.1,1.12,105.0,61.0,44.0,6.0,4.0,4.0,20.0,24.0,65.0,6.0,0.7471264367816092
m_2019_A_103,atp_105227,4160.0,7.0,True,3.0,4.0,3.0,6.0,7.0,6.0,1.3,1.32,166.0,106.0,60.0,8.0,6.0,9.0,36.0,24.0,89.0,5.0,0.5816993464052288
m_2019_A_104,atp_106421,1865.0,19.0,True,3.0,6.0,7.0,6.0,,,1.59,1.65,103.0,58.0,45.0,7.0,1.0,4.0,24.0,21.0,56.0,2.0,0.6588235294117647
m_2019_A_105,atp_105453,3750.0,9.0,True,3.0,7.0,6.0,6.0,,,1.15,1.18,97.0,60.0,37.0,3.0,1.0,2.0,13.0,24.0,52.0,3.0,0.65
m_2019_A_106,atp_105807,1705.0,23.0,True,3.0,6.0,6.0,2.0,6.0,,2.08,2.17,119.0,64.0,55.0,10.0,8.0,14.0,22.0,33.0,75.0,3.0,0.7009345794392523
m_2019_A_108,atp_104925,9135.0,1.0,True,3.0,6.0,6.0,4.0,6.0,,1.04,1.06,113.0,63.0,50.0,5.0,2.0,5.0,18.0,32.0,55.0,4.0,0.6111111111111112
m_2019_A_109,atp_106432,2435.0,12.0,True,3.0,2.0,6.0,6.0,6.0,,1.16,1.18,116.0,73.0,43.0,14.0,6.0,9.0,21.0,22.0,75.0,7.0,0.6410256410256411
m_2019_A_110,atp_100644,6385.0,4.0,True,3.0,6.0,6.0,6.0,,,1.05,1.1,99.0,58.0,41.0,14.0,5.0,6.0,21.0,20.0,55.0,4.0,0.6470588235294118
m_2019_A_111,atp_106298,1245.0,31.0,True,3.0,7.0,6.0,6.0,4.0,6.0,1.49,1.54,182.0,122.0,60.0,16.0,5.0,7.0,27.0,33.0,103.0,8.0,0.6023391812865497
m_2019_A_112,atp_126207,1080.0,39.0,True,3.0,7.0,7.0,6.0,7.0,,3.02,3.23,166.0,115.0,51.0,10.0,15.0,18.0,25.0,26.0,123.0,4.0,0.6473684210526316
m_2019_A_113,atp_104745,7480.0,2.0,True,3.0,6.0,6.0,7.0,,,1.16,1.19,95.0,61.0,34.0,5.0,2.0,2.0,11.0,23.0,56.0,1.0,0.691358024691358
m_2019_A_114,atp_105138,1605.0,24.0,True,3.0,6.0,6.0,6.0,4.0,6.0,2.15,2.25,169.0,107.0,62.0,10.0,3.0,5.0,25.0,37.0,106.0,3.0,0.6883116883116883
m_2019_A_115,atp_126774,2095.0,15.0,True,3.0,6.0,7.0,7.0,7.0,,5.42,6.0,178.0,136.0,42.0,20.0,12.0,12.0,22.0,20.0,112.0,1.0,0.5957446808510638
m_2019_A_116,atp_105683,1900.0,17.0,True,3.0,6.0,6.0,7.0,,,2.13,2.4,96.0,56.0,40.0,15.0,0.0,1.0,18.0,22.0,54.0,1.0,0.6923076923076923
m_2019_A_117,atp_106298,1245.0,31.0,True,3.0,6.0,6.0,7.0,7.0,,3.83,4.33,152.0,99.0,53.0,19.0,4.0,6.0,30.0,23.0,88.0,2.0,0.6518518518518519
m_2019_A_118,atp_105453,3750.0,9.0,True,3.0,6.0,4.0,7.0,6.0,7.0,1.21,1.23,217.0,127.0,90.0,15.0,8.0,14.0,58.0,32.0,127.0,2.0,0.6135265700483091
m_2019_A_119,atp_104925,9135.0,1.0,True,3.0,6.0,6.0,6.0,6.0,,1.13,1.15,142.0,82.0,60.0,6.0,7.0,9.0,28.0,32.0,84.0,5.0,0.6666666666666666
m_2019_A_120,atp_126774,2095.0,15.0,True,3.0,7.0,4.0,6.0,7.0,,1.98,2.1,131.0,89.0,42.0,22.0,1.0,4.0,24.0,18.0,74.0,3.0,0.5736434108527132
m_2019_A_121,atp_104745,7480.0,2.0,True,3.0,6.0,6.0,6.0,,,1.05,1.06,88.0,60.0,28.0,11.0,2.0,2.0,16.0,12.0,57.0,0.0,0.7402597402597403
m_2019_A_122,atp_106298,1245.0,31.0,True,3.0,7.0,6.0,6.0,6.0,,5.54,6.46,143.0,91.0,52.0,14.0,0.0,1.0,25.0,27.0,80.0,4.0,0.6557377049180327
m_2019_A_123,atp_104925,9135.0,1.0,True,1.0,6.0,4.0,,,,1.1,1.12,51.0,25.0,26.0,2.0,0.0,0.0,17.0,9.0,20.0,1.0,0.6896551724137931
m_2019_A_124,atp_104745,7480.0,2.0,True,3.0,6.0,6.0,6.0,,,1.18,1.22,79.0,49.0,30.0,5.0,1.0,1.0,16.0,14.0,40.0,0.0,0.6557377049180327
m_2019_A_125,atp_104925,9135.0,1.0,True,3.0,6.0,6.0,6.0,,,1.06,1.1,83.0,45.0,38.0,6.0,0.0,0.0,13.0,25.0,38.0,0.0,0.7169811320754716
m_2019_A_126,atp_104925,9135.0,1.0,True,3.0,6.0,6.0,6.0,,,1.75,1.84,89.0,56.0,33.0,8.0,1.0,1.0,23.0,10.0,50.0,0.0,0.7246376811594203
m_2018_A_0,atp_105238,1296.0,37.0,True,3.0,7.0,6.0,6.0,,,1.03,1.06,110.0,55.0,55.0,11.0,4.0,8.0,23.0,32.0,46.0,4.0,0.5227272727272727
m_2018_A_1,atp_105992,1115.0,45.0,True,3.0,6.0,5.0,3.0,7.0,6.0,1.33,1.38,162.0,95.0,67.0,15.0,6.0,13.0,38.0,29.0,99.0,6.0,0.61875
m_2018_A_2,atp_106378,992.0,49.0,True,3.0,6.0,6.0,3.0,6.0,6.0,2.92,3.1,155.0,115.0,40.0,11.0,9.0,11.0,16.0,24.0,108.0,5.0,0.6352941176470588
m_2018_A_3,atp_105807,2615.0,11.0,True,3.0,7.0,4.0,7.0,6.0,,1.28,1.33,147.0,75.0,72.0,10.0,4.0,9.0,32.0,40.0,81.0,4.0,0.6639344262295082
m_2018_A_4,atp_104655,1345.0,34.0,True,3.0,7.0,6.0,7.0,,,1.64,1.77,117.0,74.0,43.0,12.0,1.0,4.0,24.0,19.0,68.0,2.0,0.6296296296296297
m_2018_A_5,atp_104797,848.0,60.0,True,3.0,6.0,6.0,5.0,7.0,,1.68,1.76,139.0,86.0,53.0,7.0,2.0,4.0,24.0,29.0,86.0,2.0,0.6771653543307087
m_2018_A_6,atp_104180,1490.0,28.0,True,3.0,7.0,6.0,6.0,,,1.25,1.28,111.0,66.0,45.0,15.0,3.0,3.0,25.0,20.0,59.0,2.0,0.6704545454545454
m_2018_A_7,atp_104312,686.0,76.0,True,3.0,3.0,6.0,6.0,6.0,,1.33,1.36,121.0,72.0,49.0,2.0,6.0,11.0,27.0,22.0,68.0,2.0,0.5619834710743802
m_2018_A_8,atp_126094,1373.0,32.0,True,3.0,7.0,6.0,6.0,6.0,6.0,1.88,2.15,183.0,102.0,81.0,13.0,9.0,17.0,46.0,35.0,96.0,15.0,0.5363128491620112
m_2018_A_9,atp_105051,684.0,78.0,True,3.0,6.0,3.0,6.0,6.0,,3.24,3.6,112.0,75.0,37.0,13.0,2.0,3.0,20.0,17.0,68.0,4.0,0.7010309278350515
m_2018_A_10,atp_106415,318.0,168.0,True,3.0,6.0,2.0,6.0,1.0,6.0,3.55,3.89,125.0,67.0,58.0,3.0,11.0,17.0,26.0,32.0,79.0,2.0,0.6810344827586207
m_2018_A_11,atp_104678,800.0,65.0,True,3.0,6.0,4.0,6.0,6.0,6.0,1.27,1.31,153.0,101.0,52.0,22.0,7.0,10.0,22.0,30.0,107.0,5.0,0.7086092715231788
m_2018_A_12,atp_133430,986.0,50.0,True,3.0,6.0,6.0,7.0,,,1.71,1.77,100.0,62.0,38.0,9.0,1.0,2.0,16.0,22.0,46.0,6.0,0.5679012345679012
m_2018_A_13,atp_105777,4990.0,3.0,True,3.0,6.0,6.0,6.0,,,1.01,1.03,95.0,51.0,44.0,7.0,2.0,2.0,23.0,21.0,38.0,5.0,0.5507246376811594
m_2018_A_14,atp_106043,1675.0,26.0,True,3.0,2.0,6.0,5.0,6.0,11.0,1.26,1.3,189.0,108.0,81.0,14.0,14.0,25.0,48.0,33.0,109.0,7.0,0.5767195767195767
