player_id,name,hand,country,birthdate
atp_105526,Jan Lennard Struff,R,GER,1990-04-25
atp_105539,Evgeny Donskoy,R,RUS,1990-05-09
atp_105550,Guido Pella,L,ARG,1990-05-17
atp_105554,Daniel Evans,R,GBR,1990-05-23
atp_105575,Ricardas Berankis,R,LTU,1990-06-21
atp_105577,Vasek Pospisil,R,CAN,1990-06-23
atp_105583,Dusan Lajovic,R,SRB,1990-06-30
atp_105614,Bradley Klahn,L,USA,1990-08-20
atp_105641,Blaz Rola,L,SLO,1990-10-05
atp_105643,Federico Delbonis,L,ARG,1990-10-05
atp_105649,Cedrik Marcel Stebe,L,GER,1990-10-09
atp_105657,Marius Copil,R,ROU,1990-10-17
atp_105676,David Goffin,R,BEL,1990-12-07
atp_105683,Milos Raonic,R,CAN,1990-12-27
atp_105732,Pierre Hugues Herbert,R,FRA,1991-03-18
atp_105777,Grigor Dimitrov,R,BUL,1991-05-16
atp_105806,Mirza Basic,R,BIH,1991-07-12
atp_105807,Pablo Carreno Busta,R,ESP,1991-07-12
atp_105815,Tennys Sandgren,R,USA,1991-07-22
atp_105819,Guido Andreozzi,R,ARG,1991-08-05
atp_105870,Yannick Hanfmann,U,GER,1991-11-13
atp_105882,Stefano Travaglia,U,ITA,1991-12-18
atp_105902,James Duckworth,R,AUS,1992-01-21
atp_105916,Marton Fucsovics,R,HUN,1992-02-08
atp_105932,Nikoloz Basilashvili,R,RUS,1992-02-23
atp_105936,Filip Krajinovic,R,SRB,1992-02-27
atp_105967,Henri Laaksonen,R,SUI,1992-03-31
atp_105992,Ryan Harrison,R,USA,1992-05-07
atp_106000,Damir Dzumhur,R,BIH,1992-05-20
atp_106034,Yasutaka Uchiyama,R,JPN,1992-08-05
atp_106043,Diego Sebastian Schwartzman,R,ARG,1992-08-16
atp_106045,Denis Kudla,R,USA,1992-08-17
atp_106058,Jack Sock,R,USA,1992-09-24
atp_106065,Marco Cecchinato,R,ITA,1992-09-30
atp_106071,Bernard Tomic,R,AUS,1992-10-21
atp_106072,Alexey Vatutin,U,RUS,1992-10-27
atp_106075,Jozef Kovalik,R,SVK,1992-11-04
atp_106078,Egor Gerasimov,R,BLR,1992-11-11
atp_106099,Salvatore Caruso,R,ITA,1992-12-15
atp_106109,Alex Bolt,L,AUS,1993-01-05
atp_106121,Taro Daniel,R,JPN,1993-01-27
atp_106148,Roberto Carballes Baena,R,ESP,1993-03-23
atp_106186,Jason Kubler,R,AUS,1993-05-19
atp_106198,Hugo Dellien,R,BOL,1993-06-16
atp_106210,Jiri Vesely,L,CZE,1993-07-10
atp_106214,Oscar Otte,R,GER,1993-07-16
atp_106216,Bjorn Fratangelo,R,USA,1993-07-19
atp_106218,Marcos Giron,R,USA,1993-07-24
atp_106228,Juan Ignacio Londero,R,ARG,1993-08-15
atp_106233,Dominic Thiem,R,AUT,1993-09-03
atp_106283,Mitchell Krueger,R,USA,1994-01-12
atp_106293,Kimmer Coppejans,R,BEL,1994-02-07
atp_106296,Gregoire Barrere,R,FRA,1994-02-16
atp_106298,Lucas Pouille,R,FRA,1994-02-23
atp_106329,Thiago Monteiro,L,BRA,1994-05-31
atp_106378,Kyle Edmund,R,GBR,1995-01-08
atp_106401,Nick Kyrgios,R,AUS,1995-04-27
atp_106415,Yoshihito Nishioka,L,JPN,1995-09-27
atp_106421,Daniil Medvedev,R,RUS,1996-02-11
atp_106423,Thanasi Kokkinakis,R,AUS,1996-04-10
atp_106426,Christian Garin,R,CHI,1996-05-30
atp_106432,Borna Coric,R,CRO,1996-11-14
atp_109739,Maximilian Marterer,L,GER,1995-06-15
atp_110602,Dennis Novak,R,AUT,1993-08-28
atp_111153,Christopher Eubanks,R,USA,1996-05-05
atp_111202,Hyeon Chung,R,KOR,1996-05-19
atp_111442,Jordan Thompson,R,AUS,1994-04-20
atp_111456,Mackenzie Mcdonald,R,USA,1995-04-16
atp_111460,Quentin Halys,R,FRA,1996-10-26
atp_111511,Noah Rubin,R,USA,1996-02-21
atp_111513,Laslo Djere,R,SRB,1995-06-02
atp_111575,Karen Khachanov,R,RUS,1996-05-21
atp_111576,Sumit Nagal,R,IND,1997-08-16
atp_111581,Michael Mmoh,R,USA,1998-01-10
atp_111790,Brayden Schnur,R,CAN,1995-07-04
atp_111794,Kamil Majchrzak,R,POL,1996-01-13
atp_111797,Nicolas Jarry,R,CHI,1995-10-11
atp_111815,Cameron Norrie,L,GBR,1995-08-23
atp_117360,Marc Polmans,U,AUS,1997-05-02
atp_120424,Yannick Maden,U,GER,1989-10-28
atp_122330,Alexander Bublik,R,RUS,1997-06-17
atp_124014,Ernesto Escobedo,R,USA,1996-07-04
atp_124079,Pedro Martinez Portero,R,ESP,1997-04-26
atp_124186,Alexandre Muller,U,FRA,1997-02-01
atp_124187,Reilly Opelka,U,USA,1997-08-28
atp_125802,Ilya Ivashka,R,BLR,1994-02-24
atp_126094,Andrey Rublev,R,RUS,1997-10-20
atp_126125,Maxime Janvier,U,FRA,1996-10-18
atp_126156,Antonie Hoang,R,FRA,1995-11-04
atp_126203,Taylor Harry Fritz,R,USA,1997-10-28
atp_126205,Tommy Paul,R,USA,1997-05-17
atp_126207,Frances Tiafoe,R,USA,1998-01-20
atp_126610,Matteo Berrettini,U,ITA,1996-04-12
atp_126652,Jay Clarke,R,GBR,1998-07-27
atp_126774,Stefanos Tsitsipas,R,GRE,1998-08-12
atp_126952,Soon Woo Kwon,R,KOR,1997-12-02
atp_128034,Hubert Hurkacz,R,POL,1997-02-11
atp_132283,Lorenzo Sonego,R,ITA,1995-05-11
atp_133430,Denis Shapovalov,L,CAN,1999-04-15
atp_134770,Casper Ruud,R,NOR,1998-12-22
atp_136440,Dominik Koepfer,L,GER,1994-04-29
atp_144707,Mikael Ymer,R,SWE,1998-09-09
atp_144719,Jaume Munar,U,ESP,1997-05-05
atp_144750,Lloyd George Muirhead Harris,R,RSA,1997-02-24
atp_144895,Corentin Moutet,L,FRA,1999-04-19
atp_200000,Felix Auger Aliassime,R,CAN,2000-08-08
atp_200005,Ugo Humbert,L,FRA,1998-06-26
atp_200175,Miomir Kecmanovic,R,SRB,1999-08-31
atp_200221,Alejandro Davidovich Fokina,U,ESP,1999-06-05
atp_200282,Alex De Minaur,R,AUS,1999-02-17
atp_200484,Rudolf Molleker,R,GER,2000-10-26
atp_200611,Elliot Benchetrit,U,FRA,1998-10-02
atp_200615,Alexei Popyrin,U,AUS,1999-08-05
atp_202385,Jenson Brooksby,U,USA,2000-10-26
atp_206173,Jannik Sinner,U,ITA,2001-08-16
atp_206703,Paul Jubb,R,GBR,1999-10-31
atp_208260,Zachary Svajda,U,USA,2002-11-29
